car_model,price,year_model,kms,color,fueltype
Renault Logan 1.6 Privilege / Intens,$54.500.000,2022,23.000,Gris,Gasolina
Renault Logan 1.4 Expression,$19.800.000,2007,170.000,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$23.900.000,2012,115.000,Marrón,Gasolina
Renault Logan 1.6 Privilege / Intens,$33.800.000,2017,123.000,Plateado,Gasolina
Renault Logan Mod 2022 At,$50.000.000,2022,65.543,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$26.900.000,2013,130.000,Color not found,Gasolina
Renault Logan 1.6 Expression,$39.500.000,2019,44.300,Dorado,Gasolina
Renault Logan 1.6 Dynamique,$31.990.000,0,0,Color not found,Fuel type not found
Renault Logan Life Mt 1.6cc 16v 2020,$39.900.000,2020,45.600,Plateado,Gasolina
Renault Logan AUTHENTIQUE 8V,$30.900.000,2017,Publicado,Plateado,Gasolina
Renault Logan 1.6 Expression / Life +,$43.990.000,2020,47.977,Rojo,Gasolina
Renault Logan 1.6 Authentique,$30.900.000,2017,79.000,Rojo,Gasolina
Renault Logan 1.6 Privilege / Intens,$50.900.000,2022,16.800,Gris,Gasolina
Renault Logan 1.6 Dynamique,$34.760.000,2016,77.999,Gris,Gasolina
Renault Logan Trip Advisor Modelo 2018,$38.000.000,2018,100.000,Gris,Gasolina
Renault Logan 1.6 PRIVILEGE AUT,$52.900.000,2021,55.000,Color not found,Gasolina
Renault Logan 1.6 Authentique / Life,$44.500.000,2023,21.000,Blanco,Gasolina
Renault Logan Intens 1.6 Mt,$56.900.000,2022,37.576,Gris,Gasolina
Renault Logan 1.6 Zen Mt 2023,$56.900.000,2023,51.157,Color not found,Gasolina
Renault Logan Mod 2022 At,$50.000.000,2022,60.305,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$31.800.000,2014,72.000,Gris,Gasolina
Espectacular Logan Version  Day And Night Full Equipo (2017),$39.900.000,2017,68.000,Gris,Gasolina
Renault Logan LIFE 1.6 MT,$37.900.000,2018,65.885,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.900.000,2014,149.000,Negro,Gasolina
